order	mean	sd	month
18	0.09113869522915953	0.052134078189346136	8
19	0.08793369579150112	0.05169809712652834	8
20	0.08488282164959243	0.05124519067572042	8
1	1	0.3129750748804322	9
2	0.3538627194417184	0.14150135394545474	9
3	0.2559150954558425	0.08193325036155301	9
4	0.21565364458271583	0.05493917556525061	9
5	0.19383780161042727	0.04100472552153996	9
6	0.17997674782116824	0.033109530272787104	9
7	0.17024555653697673	0.028105709406645737	9
8	0.16295762875702172	0.024624759410472704	9
9	0.15724757080135268	0.022050005604920462	9
10	0.15261804111946048	0.02006905590260075	9
11	0.14876014637301643	0.01850028502262353	9
12	0.14547175982881563	0.017226771888816793	9
13	0.14261560166183446	0.016168894018749966	9
14	0.14009566160853126	0.01527092342815087	9
15	0.1378430793574883	0.014493290861701216	9
16	0.135807324719798	0.01380762346316303	9
17	0.13395052049928935	0.013193398348618747	9
18	0.132243701279658	0.012635636944026711	9
19	0.13066429781628877	0.012123298282168269	9
20	0.12919441442190016	0.011648149272959665	9
1	1	0.32152050980977437	10
2	0.34405568096313005	0.14492666308215543	10
3	0.245866906149617	0.08491470672707681	10
4	0.20646962643828898	0.05737317056306735	10
5	0.1854225698203279	0.042601318370433676	10
6	0.17212348371012204	0.0338838090365693	10
7	0.1627658027573293	0.028252326747842248	10
8	0.15569770476360642	0.024341272983340913	10
9	0.15009103126486936	0.021475778261853998	10
10	0.14548272016494532	0.01928713089442296	10
11	0.14159240485929234	0.0175550421832753	10
12	0.1382400652582269	0.016140162203980957	10
13	0.13530468489223368	0.01495171446056555	10
14	0.13270172800512928	0.013929678974004675	10
15	0.13037011540922197	0.013033929825824148	10
16	0.12826435685222143	0.012237270294443981	10
17	0.1263496353802604	0.011520898011552958	10
18	0.1245986483733905	0.010871456464032118	10
19	0.12298952517002332	0.010279132174627614	10
20	0.12150442057392448	0.009736436692089744	10
1	1	0.31821299134569314	11
2	0.3238170721187025	0.15004460580299206	11
3	0.22089920322893267	0.09250572815518719	11
4	0.17783788494282016	0.06415863824402707	11
5	0.15428757760517078	0.0479071972977035	11
6	0.13926480102483982	0.037960773270778625	11
7	0.12867707392483338	0.031514818933651066	11
8	0.12070130766790482	0.02714112181935847	11
9	0.11440614093449218	0.0240669182121722	11
10	0.10926293029013642	0.0218410393708717	11
11	0.10494738040691884	0.020182642114278143	11
12	0.10124890199336015	0.018909720456817426	11
13	0.09802472705185718	0.01790177434976683	11
14	0.09517468800593037	0.01707807933846546	11
15	0.0926264509119424	0.016384062603083675	11
16	0.09032644601313752	0.015782459022751244	11
17	0.08823408931684072	0.015247508269961513	11
18	0.0863179924762157	0.014761143552614738	11
19	0.08455341647351353	0.014310489965384003	11
20	0.08292052512077665	0.013886219597718396	11
1	1	0.2992896616213047	12
2	0.3193548928739337	0.16176865067398422	12
3	0.20649749636673087	0.10151073081217787	12
4	0.1583970572803037	0.07042487845997675	12
5	0.13198497978472734	0.05205582688204908	12
6	0.11525923014960163	0.040524696349980516	12
7	0.10364606969469493	0.032920493488465284	12
8	0.09505826118686787	0.02768491475997763	12
9	0.08841153283304334	0.023937622633749864	12
10	0.08308598430939602	0.021157213517562688	12
11	0.07870122087171577	0.019022858127590067	12
12	0.07501108243995183	0.017331212826138927	12
13	0.0718495563262455	0.015950266135409244	12
14	0.06910087401406399	0.0147924891731	12
15	0.06668200561899883	0.013798697383985708	12
16	0.06453193769054126	0.012928117864621608	12
17	0.062604860440522	0.012152155132793191	12
18	0.06086570520847577	0.011450407481136125	12
19	0.05928714513423881	0.010808078184422224	12
20	0.05784753401887114	0.010214266303593037	12
1	1	0.2659647893264175	13
2	0.3364571019722516	0.14736750203577537	13
3	0.2281179551805526	0.09275613711929727	13
4	0.1809424743594402	0.06594642008066931	13
